Threshold,Precision (%),Recall (%),F1 Score (%),False Positive Rate (%)
0.3,26.2,100.0,41.5,98.9
0.32,26.7,99.6,42.1,96.0
0.34,27.8,99.6,43.4,91.0
0.36,29.0,97.4,44.7,83.7
0.38,32.9,94.3,48.8,67.5
0.4,39.4,89.8,54.8,48.5
0.42,46.2,83.4,59.5,34.0
0.44,54.0,76.2,63.2,22.8
0.46,56.4,63.0,59.5,17.1
0.48,66.2,51.7,58.1,9.3
0.5,77.6,43.0,55.3,4.4
0.52,86.3,40.4,55.0,2.3
0.54,89.7,36.2,51.6,1.5
0.56,91.9,34.3,50.0,1.1
0.58,93.4,32.1,47.8,0.8
0.6,97.7,31.7,47.9,0.3
0.62,98.8,31.7,48.0,0.1
0.64,100.0,31.7,48.1,0.0
0.66,100.0,31.7,48.1,0.0
0.68,100.0,31.7,48.1,0.0
0.7,100.0,31.7,48.1,0.0
0.72,100.0,31.7,48.1,0.0
0.74,100.0,31.7,48.1,0.0
0.76,100.0,31.7,48.1,0.0
0.78,100.0,31.7,48.1,0.0
0.8,100.0,31.7,48.1,0.0
